"Source","Target","Type"
"851217","239311","directed"
"42240","308447","directed"
"624953","717216","directed"
"853287","385871","directed"
"722859","260584","directed"
"260584","764841","directed"
"167455","871536","directed"
"308447","387579","directed"
"116468","362250","directed"
"37688","399971","directed"
"641629","876130","directed"
"988025","639309","directed"
"103760","949803","directed"
"617278","286315","directed"
"969369","419766","directed"
"286315","152384","directed"
"639309","515870","directed"
"389100","257912","directed"
"961478","881969","directed"
"46651","946801","directed"
"257783","684922","directed"
"235053","949803","directed"
"991938","12503","directed"
"439432","239311","directed"
"624953","37750","directed"
"384312","216235","directed"
"371990","70484","directed"
"853287","457610","directed"
"722859","390067","directed"
"679204","37750","directed"
"167455","771535","directed"
"386533","531208","directed"
"28400","96632","directed"
"308447","594437","directed"
"116468","930988","directed"
"602209","326017","directed"
"748784","535827","directed"
"299996","498159","directed"
"390067","456962","directed"
"522016","361927","directed"
"205667","572602","directed"
"572602","399971","directed"
"70094","617278","directed"
"303320","457610","directed"
"348251","181888","directed"
"103760","765152","directed"
"361927","779990","directed"
"833933","423645","directed"
"432106","103760","directed"
"961478","544104","directed"
"257783","874850","directed"
"871449","55994","directed"
"70484","877738","directed"
"384312","286315","directed"
"250385","419766","directed"
"779990","384312","directed"
"684922","177868","directed"
"795550","833933","directed"
"942164","944880","directed"
"740163","765152","directed"
"813684","90948","directed"
"399971","384312","directed"
"96632","456962","directed"
"765152","876130","directed"
"961478","572602","directed"
"152384","286315","directed"
"70484","426122","directed"
"439432","46651","directed"
"922490","46651","directed"
"836419","216235","directed"
"748784","260584","directed"
"304090","257912","directed"
"205667","848099","directed"
"303320","853287","directed"
"838513","152306","directed"
"994130","304354","directed"
"104256","832631","directed"
"498159","764841","directed"
"167455","456962","directed"
"836419","362750","directed"
"308447","877738","directed"
"389100","203200","directed"
"994130","535827","directed"
"177868","457610","directed"
"556031","940769","directed"
"250385","572501","directed"
"895303","260584","directed"
"554651","308447","directed"
"813684","976245","directed"
"694113","938675","directed"
"572602","103760","directed"
"423645","853287","directed"
"96632","933161","directed"
"508791","949803","directed"
"412929","938675","directed"
"686816","722859","directed"
"414977","37750","directed"
"90948","257016","directed"
"309114","938675","directed"
"963266","639309","directed"
"28400","456962","directed"
"35619","710194","directed"
"454150","713941","directed"
"946801","126811","directed"
"554651","594437","directed"
"813684","842601","directed"
"988025","304354","directed"
"205667","930988","directed"
"572602","949803","directed"
"515870","881969","directed"
"881969","304354","directed"
"412929","325218","directed"
"456962","37750","directed"
"574996","457610","directed"
"561481","419766","directed"
"887316","90948","directed"
"11243","361927","directed"
"42240","517906","directed"
"250385","260584","directed"
"922490","624953","directed"
