"EventCode","Ego","Hear","Attend","IsSeed","ToTotal","Gender","Age","In80s","MinsTrav","Educ","WallMat","JobType","Time1","Time2","Time3","Time4","Time5","Phone1","Phone2","Phone3","Phone4","Phone5","Pol1","Pol2","Pol3","Pol4","Pol5","Relig1","Relig2","Relig3","Relig4","Relig5","Meal1","Meal2","Meal3","Meal4","Meal5","Visit1","Visit2","Visit3","Visit4","Visit5","Secret1","Secret2","Secret3","Secret4","Secret5","GossipNameCl","Occup","Married","ClanWeek","Relig","Worship","ReligWeek","SoapLasts","WhyNot","PhoneSum","CoarseLangFam","CoarseVisitOth","CoarseClan","CoarseSpouseClan","Tribe","TimeClanProp","PhoneClanProp","PolClanProp","ReligClanProp","MealClanProp","VisitClanProp","SecretClanProp","Region","CoarseVlg","OwnPhone","TotNames","TotUNames","Passed"
1,250848,"Y","Y",0,"3","F",39,"N",30,3,3,3,526771,198183,NA,91129,NA,423645,NA,NA,NA,NA,NA,NA,NA,NA,NA,279115,963700,137238,NA,NA,78204,143278,NA,NA,NA,662753,NA,NA,NA,NA,139030,662753,NA,NA,NA,732493,"PEASANT","Y",2,2,4,3,"2",NA,1,"ATESO",2,"IMUGOYA",NA,"ATESO",0,1,NA,0,0,0,0,NA,"CENTRAL","N",12,11,1
1,662247,"Y","Y",0,"2","M",45,"Y",15,3,6,3,672151,495302,668812,293008,955587,495302,NA,NA,NA,NA,NA,608467,63922,93059,NA,608467,563584,226835,183466,293906,672151,NA,665232,243737,513088,NA,NA,202272,NA,668812,NA,NA,NA,NA,NA,515870,"FARMER","Y",2,1,2,3,"7",NA,1,"ATESO",3,"EDODOIT","IGORIA","ATESO",0,0,0.6,0.2,0.2,0,NA,NA,"ABALANG","N",20,16,0
1,702882,"Y","Y",0,"0","F",18,"N",5,1,3,3,NA,122952,699418,113367,931200,289246,28180,257912,142416,NA,113367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96783,988260,931202,215772,54206,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FARMER","Y",3,1,4,2,"5",NA,4,"OTHER",3,"KATPIT",NA,"OTHER",0.8,1,1,0,0.8,1,NA,NA,"ABALANG","N",14,13,0
4,70484,"Y","Y",0,"10","F",32,"Y",30,1,3,3,371990,199023,42240,886604,791576,35619,555070,NA,NA,NA,199023,517906,NA,NA,NA,600405,61683,NA,NA,NA,371990,586360,877738,426122,199023,371990,886604,199023,817037,NA,371990,42240,NA,NA,NA,NA,"FARMER","N",5,1,3,3,"3",NA,2,"ATESO",2,"AKOCHELAIT",NA,"ATESO",0.4,1,0,0.5,0,0.25,0,8,"ABALANG","N",22,14,0
1,677593,"Y","Y",0,"1","F",19,"Y",30,5,3,4,820683,80580,884439,265435,NA,820683,473288,369613,NA,NA,250725,NA,NA,NA,NA,344882,NA,NA,NA,NA,563377,461352,973168,NA,NA,461352,973168,NA,NA,NA,144742,363185,NA,NA,NA,515870,"TEACHER","N",2,1,4,3,"3",NA,3,"ATESO",2,"IRARAK",NA,"ATESO",1,1,1,1,0.333333333,0,1,NA,"CENTRAL","N",16,13,1
1,974731,"Y","Y",0,"0","M",50,"Y",NA,1,3,3,NA,11114,318299,NA,NA,NA,NA,NA,NA,NA,91256,890622,860039,NA,78925,91256,890622,114653,NA,78925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FARMER","Y",3,1,4,3,"3",NA,0,"ATESO",2,"EKOMOLOIT","IRARAK","ATESO",0,NA,0,0,NA,NA,NA,NA,"ABALANG","N",10,7,0
1,139030,"Y","Y",0,"5","F",23,"N",60,4,3,3,999416,526771,787991,165595,189690,526771,999416,NA,NA,NA,165595,969222,NA,NA,NA,189690,999416,NA,NA,NA,176996,528864,NA,NA,NA,184803,235495,279115,NA,NA,189690,999416,NA,NA,NA,515870,"BUSINESS","Y",1,2,4,3,"2",NA,2,"ATESO",2,NA,"ININTKA","ATESO",0,0,0,0,0,0,0,NA,"UNKNOWN","N",18,11,1
1,104914,"Y","Y",0,"3","M",22,"N",15,5,3,3,758371,219678,42874,573893,387579,426741,850171,290258,826502,132060,515870,26297,607375,557970,973579,816989,607375,518280,876757,554651,758371,219678,349445,370553,603761,308447,442290,973579,227704,619242,758371,118365,876757,838668,405734,515870,"STUDENT","Y",4,1,3,2,"14",NA,5,"ATESO",3,"IKARIBWOK",NA,"ATESO",1,0.2,0.6,0.6,1,0.8,0.2,NA,"ABALANG","N",35,29,1
5,541544,"Y","Y",0,"5","F",19,"N",60,4,3,1,43121,463211,838185,31058,245387,701605,214555,205074,NA,NA,NA,NA,NA,NA,NA,555306,549371,439432,552384,NA,146856,376700,963123,726134,NA,300661,439432,302649,146856,NA,838185,555306,43121,356632,NA,575792,"FARMER","Y",2,1,4,2,"4",NA,3,"ATESO",2,"IKWANGAI","IKARIBWOK","ATESO",0.6,0.333333333,NA,0.75,0.5,0.75,1,7,"ABALANG","N",24,19,1
1,443509,"Y","Y",0,"3","F",35,"N",3,1,6,3,555306,83820,162952,815779,192686,177640,192686,162952,83820,143935,443509,994955,181104,83820,NA,623209,83820,NA,NA,NA,951430,301645,NA,932529,NA,NA,NA,228002,752186,NA,NA,NA,504089,NA,NA,NA,"FARMER","Y",3,1,4,3,"4",NA,5,"ATESO",3,"IKATEKOK","IRARAK","ATESO",0,0,0,0,0,0,0,NA,"ALOET","Y",22,17,1
1,575989,"Y","Y",0,"3","F",18,"N",10,5,3,1,312819,714910,183806,267796,408108,254300,NA,NA,NA,NA,118741,490283,135598,NA,NA,35619,NA,NA,NA,NA,148326,46707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515870,"STUDENT","N",2,1,3,2,"21",NA,1,"ATESO",2,"IKARIBWOK",NA,"ATESO",1,1,1,1,1,NA,NA,NA,"CENTRAL","N",12,12,1
1,108458,"Y","Y",0,"5","F",45,"Y",10,3,5,3,NA,NA,285301,657696,437650,NA,NA,NA,NA,NA,NA,NA,452544,NA,NA,NA,657696,NA,NA,NA,594437,NA,260584,260171,73808,394033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUSINESS","N",2,1,3,3,"3",NA,0,"ATESO",2,"AGARKWONG",NA,"ATESO",0,NA,0,0,0,0,NA,NA,"ALOET","N",10,9,1
1,564030,"Y","Y",0,"0","F",80,"Y",20,1,3,1,86222,579318,209182,NA,NA,NA,NA,NA,NA,NA,86222,209182,NA,NA,NA,86222,579318,NA,NA,NA,86222,579318,NA,NA,NA,209182,NA,NA,NA,NA,209182,NA,NA,NA,NA,NA,"UNEMPLOYED","Y",1,1,4,3,"30",NA,0,"ATESO",2,"IKARIBWOK",NA,"ATESO",1,NA,1,1,1,1,1,NA,"UNKNOWN",NA,11,3,0
1,591201,"Y","Y",0,"3","F",28,"N",60,3,3,4,100290,260584,933161,192958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779021,949803,967300,NA,NA,390067,NA,NA,NA,NA,515870,"FARMER","Y",2,1,4,3,"7",NA,0,"ATESO",3,"IKATEKOK","IKOMOLO","ATESO",1,NA,NA,NA,NA,1,1,NA,"UNKNOWN",NA,8,8,1
1,716906,"Y","Y",0,"0","F",35,"N",NA,3,6,3,577712,801469,480898,NA,988459,939216,755398,421145,622885,999064,476856,988459,NA,NA,NA,153685,436608,165595,75046,NA,200045,NA,NA,NA,NA,NA,421145,NA,NA,NA,421145,NA,NA,NA,NA,871536,"FARMER","Y",2,1,4,3,"4",NA,5,"ATESO",2,"ICETO",NA,"ATESO",0,0.6,0.5,0,1,0,0,NA,"ABALANG","Y",18,15,0
1,574271,"Y","Y",0,"0","F",45,"Y",50,1,3,2,689135,407941,11114,NA,NA,11114,294401,NA,NA,NA,NA,NA,NA,NA,NA,11114,294401,689135,944695,NA,452544,11114,195879,861076,NA,701623,818948,422797,NA,NA,NA,NA,NA,NA,NA,515870,"FARMER","Y",3,1,4,3,"7",NA,2,"ATESO",3,"IKATEKOK","IKARIBWOK","ATESO",0,0,0,0,0,0,NA,NA,"UNKNOWN","N",16,11,0
1,304354,"Y","Y",0,"3","F",36,"Y",20,3,3,4,555306,940769,260584,135284,200826,286384,158775,940018,NA,NA,555306,639309,631396,192686,270291,555306,200826,631396,805051,83820,904825,NA,NA,NA,NA,508762,270291,940769,NA,NA,639309,NA,NA,NA,NA,999416,"FARMER","Y",3,2,4,3,"5",NA,3,"ATESO",3,"IRARAK",NA,"ATESO",0,1,0.2,0.2,0,0.666666667,0,NA,"UNKNOWN","N",23,16,1
