"Source","Target","Type"
"564972","405789","directed"
"592632","870395","directed"
"915053","834082","directed"
"92387","399971","directed"
"381108","438804","directed"
"124016","202380","directed"
"324023","80580","directed"
"504089","826549","directed"
"600071","522326","directed"
"574421","693758","directed"
"80580","905853","directed"
"795987","760218","directed"
"677071","202380","directed"
"353365","745851","directed"
"687750","504089","directed"
"272097","456343","directed"
"363294","202380","directed"
"561445","848426","directed"
"333119","438804","directed"
"365873","513085","directed"
"847450","824799","directed"
"28346","848426","directed"
"11114","504089","directed"
"746225","586360","directed"
"905225","850171","directed"
"270340","433747","directed"
"519834","614804","directed"
"654967","906426","directed"
"598537","645192","directed"
"381108","593437","directed"
"834082","100290","directed"
"414545","868942","directed"
"448660","202380","directed"
"23779","501310","directed"
"324023","420471","directed"
"24893","983911","directed"
"811989","921844","directed"
"826549","702776","directed"
"661346","547231","directed"
"628294","436308","directed"
"170293","518728","directed"
"745851","283977","directed"
"645192","391522","directed"
"846910","436308","directed"
"561445","354918","directed"
"897644","942333","directed"
"169005","334082","directed"
"963814","915763","directed"
"847450","600071","directed"
"707901","868942","directed"
"343449","964714","directed"
"564972","80580","directed"
"915053","779189","directed"
"905225","450962","directed"
"983911","619067","directed"
"84237","24893","directed"
"748836","746225","directed"
"222890","518728","directed"
"519834","337498","directed"
"675338","170293","directed"
"870395","677187","directed"
"840114","687704","directed"
"654967","541436","directed"
"92387","436308","directed"
"78408","702776","directed"
"456343","915763","directed"
"881562","746225","directed"
"162909","593437","directed"
"222202","504089","directed"
"501310","365873","directed"
"23779","850171","directed"
"19948","687750","directed"
"906426","779189","directed"
"826549","748836","directed"
"848163","436308","directed"
"377960","574248","directed"
"229478","513085","directed"
"687750","963814","directed"
"146129","751967","directed"
"897644","810357","directed"
"914876","391522","directed"
"102759","677187","directed"
"417812","24893","directed"
"552352","707901","directed"
"518728","399971","directed"
"707901","78408","directed"
"593437","737247","directed"
"75315","586360","directed"
"779189","619067","directed"
"84237","200366","directed"
"66409","868942","directed"
"283977","990830","directed"
"840114","687750","directed"
"92387","518728","directed"
"994721","11080","directed"
"78408","593437","directed"
"421575","334082","directed"
"443509","779189","directed"
"448660","558677","directed"
"566902","504089","directed"
"19948","501310","directed"
"811989","537546","directed"
"906426","222890","directed"
"868942","593437","directed"
"848163","354918","directed"
"377960","518728","directed"
"222865","425589","directed"
"166002","677187","directed"
"795987","202345","directed"
"846910","675736","directed"
"146129","680270","directed"
"897644","687704","directed"
"254178","391522","directed"
"513085","382029","directed"
"847450","751967","directed"
"707901","436308","directed"
"84237","270798","directed"
"550629","75315","directed"
"448660","362115","directed"
"945210","362115","directed"
"24893","456343","directed"
"593280","983911","directed"
"906426","737247","directed"
"382029","354918","directed"
"897644","905225","directed"
"570361","504089","directed"
"779189","202345","directed"
"337498","593280","directed"
"654967","89660","directed"
"443509","84237","directed"
"558677","592632","directed"
"677187","102759","directed"
"953946","351593","directed"
"745851","881562","directed"
"353365","992887","directed"
"967300","604268","directed"
"574248","810357","directed"
"176996","78408","directed"
"846910","202380","directed"
"363294","619067","directed"
"561445","481615","directed"
"972909","351593","directed"
"37857","680270","directed"
"417812","438804","directed"
"908535","436308","directed"
"847450","202380","directed"
"343449","746225","directed"
"11114","801081","directed"
"344588","793531","directed"
"652356","702776","directed"
"92387","745851","directed"
"78910","619067","directed"
"13818","687750","directed"
"320870","574421","directed"
"964714","343449","directed"
"324023","504089","directed"
"24893","225652","directed"
"200366","906426","directed"
"19948","945210","directed"
"661346","922490","directed"
"547231","661346","directed"
"229478","801081","directed"
"677071","78408","directed"
"967300","868942","directed"
"574248","372752","directed"
"176996","745016","directed"
"333119","202380","directed"
"972909","870395","directed"
"37857","249896","directed"
"848426","513085","directed"
"158595","481615","directed"
"372303","687750","directed"
"11114","593437","directed"
"652356","963814","directed"
"746225","420471","directed"
"905225","868942","directed"
"222890","456343","directed"
"327832","550629","directed"
"331649","382029","directed"
"654967","779189","directed"
"550629","522063","directed"
"909603","438804","directed"
"978082","997185","directed"
"421575","994721","directed"
"522712","202380","directed"
"91129","834082","directed"
"905853","994721","directed"
"414545","168535","directed"
"715193","650797","directed"
"942333","677071","directed"
"24893","270340","directed"
"868942","78408","directed"
"997185","737247","directed"
"170293","793531","directed"
"382029","745851","directed"
"677071","92387","directed"
"967300","942333","directed"
"221970","362115","directed"
"37857","229478","directed"
"399971","751967","directed"
"513085","550629","directed"
"552352","356738","directed"
"652356","550629","directed"
"983911","779189","directed"
"222890","89660","directed"
"909603","915763","directed"
"942333","967300","directed"
"964714","693758","directed"
"200366","84237","directed"
"166002","343449","directed"
"229478","637682","directed"
"687750","202380","directed"
"967300","438804","directed"
"574248","522712","directed"
"221970","558677","directed"
"333119","91129","directed"
"37857","922490","directed"
"263455","272097","directed"
"513085","28346","directed"
"707901","847450","directed"
"915053","277050","directed"
"202345","978082","directed"
"283977","745851","directed"
"654967","826549","directed"
"909603","501310","directed"
"162909","826549","directed"
"814457","566506","directed"
"942333","92387","directed"
"448660","124016","directed"
"566902","78408","directed"
"617807","945210","directed"
"170293","436308","directed"
"221970","945210","directed"
"846910","351593","directed"
"760218","997185","directed"
"905225","604268","directed"
"450962","978082","directed"
"283977","746225","directed"
"92387","89660","directed"
"362115","221970","directed"
"448660","254178","directed"
"200366","915763","directed"
"436308","922490","directed"
"848163","382029","directed"
"222865","420471","directed"
"600071","824799","directed"
"602472","436308","directed"
"132004","270798","directed"
"664628","381108","directed"
"363294","78910","directed"
"687704","522063","directed"
"908535","450962","directed"
"616527","433747","directed"
"518728","519834","directed"
"537546","921844","directed"
"372303","391522","directed"
"731264","552352","directed"
"202345","600616","directed"
"337498","327832","directed"
"687949","381108","directed"
"840114","353365","directed"
"824799","600071","directed"
"881562","593437","directed"
"381108","992887","directed"
"363767","913588","directed"
"91129","263455","directed"
"834082","513827","directed"
"320870","675736","directed"
"942333","868942","directed"
"811989","254178","directed"
"745016","24807","directed"
"848163","748836","directed"
"131517","513827","directed"
"356738","779189","directed"
"570361","522326","directed"
"518728","978082","directed"
"343449","425409","directed"
"600616","745016","directed"
"801162","438804","directed"
"225652","215877","directed"
"650797","850171","directed"
"850171","650797","directed"
"264541","37857","directed"
"811989","385058","directed"
"906426","456343","directed"
"745016","868942","directed"
"731890","779189","directed"
"687750","13818","directed"
"333119","89660","directed"
"356738","997185","directed"
"100290","270798","directed"
"570361","11114","directed"
"746225","202380","directed"
"850171","481615","directed"
"997185","964714","directed"
"176996","24807","directed"
"399971","522326","directed"
"344588","675338","directed"
"337498","381108","directed"
"881562","702776","directed"
"522712","438804","directed"
"905853","11080","directed"
"225652","329156","directed"
"324023","507088","directed"
"356738","693758","directed"
"746225","868942","directed"
"283977","513085","directed"
"522712","731890","directed"
"715193","564972","directed"
